name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
01/01/2016 00:00,2.395,2.5345,2.665,2.665,2.665,2.665,2.638,2.638,2.692,2.629,2.6785,2.764,2.755,2.665,2.665,2.71,2.71,2.755,2.6425,2.665,2.755,2.7235,2.737,2.746,2.701,2.746,2.7235,2.71,2.7865
01/01/2016 01:00,2.395,2.548,2.665,2.665,2.665,2.665,2.6605,2.6605,2.6875,2.638,2.6965,2.719,2.755,2.6695,2.6695,2.71,2.71,2.755,2.6515,2.692,2.755,2.7415,2.71,2.737,2.6965,2.746,2.692,2.701,2.764
01/01/2016 02:00,2.395,2.566,2.71,2.71,2.665,2.665,2.6515,2.6515,2.692,2.6425,2.7235,2.7235,2.755,2.6695,2.6695,2.71,2.71,2.8,2.6785,2.6965,2.755,2.7235,2.692,2.7325,2.692,2.7325,2.71,2.701,2.764
01/01/2016 03:00,2.44,2.5795,2.755,2.755,2.71,2.71,2.6695,2.6695,2.7505,2.647,2.728,2.782,2.755,2.6695,2.6695,2.71,2.755,2.71,2.6965,2.728,2.755,2.6965,2.692,2.737,2.683,2.7235,2.7055,2.692,2.7505
01/01/2016 04:00,2.575,2.6155,2.755,2.755,2.71,2.71,2.683,2.683,2.7325,2.638,2.7145,2.782,2.755,2.6785,2.6785,2.71,2.755,2.71,2.728,2.737,2.755,2.692,2.6965,2.728,2.6785,2.7145,2.7055,2.6785,2.7595
01/01/2016 05:00,2.53,2.647,2.755,2.755,2.71,2.71,2.62,2.62,2.7595,2.6425,2.7595,2.737,2.755,2.6785,2.6785,2.755,2.71,2.755,2.7325,2.737,2.71,2.692,2.719,2.71,2.6695,2.701,2.6875,2.755,2.7685
01/01/2016 06:00,2.71,2.665,2.8,2.8,2.755,2.755,2.6155,2.6155,2.764,2.656,2.746,2.6965,2.755,2.692,2.692,2.755,2.71,2.71,2.7325,2.7145,2.755,2.6965,2.728,2.719,2.6605,2.701,2.6875,2.755,2.791
01/01/2016 07:00,2.755,2.6875,2.8,2.8,2.755,2.755,2.6515,2.6515,2.755,2.665,2.746,2.6965,2.755,2.6875,2.6875,2.755,2.71,2.71,2.7415,2.71,2.71,2.6965,2.746,2.6965,2.6425,2.6875,2.6785,2.71,2.791
01/01/2016 08:00,2.755,2.71,2.8,2.8,2.755,2.755,2.6965,2.6965,2.7865,2.683,2.7595,2.728,2.71,2.692,2.692,2.755,2.71,2.755,2.737,2.683,2.71,2.7145,2.7505,2.6965,2.6425,2.692,2.6515,2.71,2.7865
01/01/2016 09:00,2.8,2.7415,2.8,2.8,2.8,2.8,2.719,2.719,2.773,2.6965,2.7685,2.755,2.755,2.7055,2.7055,2.755,2.71,2.755,2.7415,2.674,2.71,2.719,2.7685,2.6965,2.656,2.71,2.665,2.755,2.782
01/01/2016 10:00,2.8,2.764,2.8,2.8,2.8,2.8,2.7415,2.7415,2.7595,2.71,2.737,2.782,2.755,2.719,2.719,2.755,2.71,2.755,2.7685,2.6785,2.71,2.7505,2.764,2.701,2.6875,2.737,2.7505,2.8,2.755
01/01/2016 11:00,2.755,2.791,2.8,2.8,2.755,2.755,2.7505,2.7505,2.764,2.737,2.728,1.95,2.755,2.755,2.755,2.8,2.71,2.755,2.809,2.701,2.755,2.791,2.773,2.764,2.719,2.7775,2.7865,2.8,2.764
01/01/2016 12:00,2.755,2.0175,2.755,2.755,2.755,2.755,2.728,2.728,2.755,2.755,2.6425,1.95,2.755,2.7775,2.7775,1.965,2.755,2.755,2.0175,2.746,1.965,2.8045,2.7865,2.791,2.755,1.995,2.7955,2.8,2.7775
01/01/2016 13:00,2.71,2.01,2.755,2.755,2.755,2.755,2.7325,2.7325,2.746,2.7595,2.7145,1.935,2.8,2.791,2.791,2.8,2.755,2.8,2.7865,2.791,1.965,2.0025,2.791,2.791,2.7595,1.995,2.7955,2.8,2.782
01/01/2016 14:00,2.665,2.0175,2.755,2.755,2.755,2.755,2.7145,2.7145,2.7415,2.746,2.692,1.965,2.8,2.8045,2.8045,2.8,2.755,2.8,2.7955,2.8045,2.8,2.0175,2.791,2.755,2.7505,2.809,2.782,2.8,2.782
01/01/2016 15:00,2.665,2.782,2.71,2.71,2.755,2.755,2.6875,2.6875,2.719,2.7235,2.656,1.9875,2.8,2.7955,2.7955,2.8,2.755,2.8,2.782,2.773,2.8,2.7865,2.773,2.7415,2.737,2.7865,2.764,2.755,2.7775
01/01/2016 16:00,2.62,2.7595,2.71,2.71,2.71,2.71,2.674,2.674,2.7055,2.683,2.6695,2.782,2.755,2.791,2.791,2.8,2.755,2.755,2.755,2.728,2.8,2.7865,2.7505,2.7325,2.746,2.7595,2.737,2.8,2.764
01/01/2016 17:00,2.62,2.7415,2.71,2.71,2.665,2.665,2.6515,2.6515,2.6965,2.6695,2.701,2.764,2.71,2.7595,2.7595,2.755,2.755,2.755,2.746,2.737,2.755,2.7595,2.7235,2.728,2.7325,2.746,2.728,2.755,2.7505
01/01/2016 18:00,2.62,2.719,2.665,2.665,2.665,2.665,2.6515,2.6515,2.692,2.656,2.665,2.692,2.71,2.737,2.737,2.71,2.71,2.755,2.719,2.737,2.755,2.728,2.692,2.728,2.7235,2.7325,2.719,2.755,2.746
01/01/2016 19:00,2.575,2.701,2.665,2.665,2.62,2.62,2.6605,2.6605,2.683,2.647,2.656,2.647,2.71,2.7145,2.7145,2.71,2.71,2.755,2.7325,2.719,2.755,2.7145,2.6875,2.7325,2.71,2.7235,2.728,2.755,2.7415
01/01/2016 20:00,2.575,2.692,2.62,2.62,2.62,2.62,2.656,2.656,2.674,2.6335,2.638,2.6695,2.71,2.6965,2.6965,2.71,2.71,2.71,2.692,2.7145,2.71,2.6965,2.692,2.7235,2.71,2.71,2.737,2.71,2.7235
01/01/2016 21:00,2.53,2.6785,2.62,2.62,2.62,2.62,2.5165,2.5165,2.6515,2.6335,2.6515,2.737,2.665,2.6875,2.6875,2.71,2.665,2.71,2.6605,2.701,2.755,2.7055,2.6875,2.7325,2.7055,2.7325,2.7235,2.71,2.737
