name,heat pump Beauly,heat pump Peterhead,heat pump Errochty,heat pump Denny/Bonnybridge,heat pump Neilston,heat pump Strathaven,heat pump Torness,heat pump Eccles,heat pump Harker,heat pump Stella West,heat pump Penwortham,heat pump Deeside,heat pump Daines,heat pump Th. Marsh/Stocksbridge,heat pump Thornton/Drax/Eggborough,heat pump Keadby,heat pump Ratcliffe,heat pump Feckenham,heat pump Walpole,heat pump Bramford,heat pump Pelham,heat pump Sundon/East Claydon,heat pump Melksham,heat pump Bramley,heat pump London,heat pump Kemsley,heat pump Sellindge,heat pump Lovedean,heat pump S.W.Penisula
01/01/2035 00:00,2.395,2.5345,2.665,2.665,2.665,2.665,2.638,2.638,2.692,2.629,2.6785,2.764,2.755,2.665,2.665,2.71,2.71,2.755,2.6425,2.665,2.755,2.7235,2.737,2.746,2.701,2.746,2.7235,2.71,2.7865
01/01/2035 01:00,2.395,2.548,2.665,2.665,2.665,2.665,2.6605,2.6605,2.6875,2.638,2.6965,2.719,2.755,2.6695,2.6695,2.71,2.71,2.755,2.6515,2.692,2.755,2.7415,2.71,2.737,2.6965,2.746,2.692,2.701,2.764
01/01/2035 02:00,2.395,2.566,2.71,2.71,2.665,2.665,2.6515,2.6515,2.692,2.6425,2.7235,2.7235,2.755,2.6695,2.6695,2.71,2.71,2.8,2.6785,2.6965,2.755,2.7235,2.692,2.7325,2.692,2.7325,2.71,2.701,2.764
01/01/2035 03:00,2.44,2.5795,2.755,2.755,2.71,2.71,2.6695,2.6695,2.7505,2.647,2.728,2.782,2.755,2.6695,2.6695,2.71,2.755,2.71,2.6965,2.728,2.755,2.6965,2.692,2.737,2.683,2.7235,2.7055,2.692,2.7505
01/01/2035 04:00,2.575,2.6155,2.755,2.755,2.71,2.71,2.683,2.683,2.7325,2.638,2.7145,2.782,2.755,2.6785,2.6785,2.71,2.755,2.71,2.728,2.737,2.755,2.692,2.6965,2.728,2.6785,2.7145,2.7055,2.6785,2.7595
01/01/2035 05:00,2.53,2.647,2.755,2.755,2.71,2.71,2.62,2.62,2.7595,2.6425,2.7595,2.737,2.755,2.6785,2.6785,2.755,2.71,2.755,2.7325,2.737,2.71,2.692,2.719,2.71,2.6695,2.701,2.6875,2.755,2.7685
01/01/2035 06:00,2.71,2.665,2.8,2.8,2.755,2.755,2.6155,2.6155,2.764,2.656,2.746,2.6965,2.755,2.692,2.692,2.755,2.71,2.71,2.7325,2.7145,2.755,2.6965,2.728,2.719,2.6605,2.701,2.6875,2.755,2.791
01/01/2035 07:00,2.755,2.6875,2.8,2.8,2.755,2.755,2.6515,2.6515,2.755,2.665,2.746,2.6965,2.755,2.6875,2.6875,2.755,2.71,2.71,2.7415,2.71,2.71,2.6965,2.746,2.6965,2.6425,2.6875,2.6785,2.71,2.791
01/01/2035 08:00,2.755,2.71,2.8,2.8,2.755,2.755,2.6965,2.6965,2.7865,2.683,2.7595,2.728,2.71,2.692,2.692,2.755,2.71,2.755,2.737,2.683,2.71,2.7145,2.7505,2.6965,2.6425,2.692,2.6515,2.71,2.7865
01/01/2035 09:00,2.8,2.7415,2.8,2.8,2.8,2.8,2.719,2.719,2.773,2.6965,2.7685,2.755,2.755,2.7055,2.7055,2.755,2.71,2.755,2.7415,2.674,2.71,2.719,2.7685,2.6965,2.656,2.71,2.665,2.755,2.782
01/01/2035 10:00,2.8,2.764,2.8,2.8,2.8,2.8,2.7415,2.7415,2.7595,2.71,2.737,2.782,2.755,2.719,2.719,2.755,2.71,2.755,2.7685,2.6785,2.71,2.7505,2.764,2.701,2.6875,2.737,2.7505,2.8,2.755
01/01/2035 11:00,2.755,2.791,2.8,2.8,2.755,2.755,2.7505,2.7505,2.764,2.737,2.728,1.95,2.755,2.755,2.755,2.8,2.71,2.755,2.809,2.701,2.755,2.791,2.773,2.764,2.719,2.7775,2.7865,2.8,2.764
