name,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,control,p_nom_extendable,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
West Burton,Coal,Conventional steam,0.0,Keadby,,1.0,1.0,1.0,Slack,False,0,1.0,0,0,1,0,0.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,116.6714,Walpole,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,116.6714
Baglan Bay CCS Gas,CCS Gas,CCS Gas,74.07708,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,74.07708
Severn Power CCS Gas,CCS Gas,CCS Gas,121.08754,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,121.08754
Blackburn CCS Gas,CCS Gas,CCS Gas,8.547356,Penwortham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,8.547356
Damhead Creek CCS Gas,CCS Gas,CCS Gas,114.67702,Kemsley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,114.67702
Rye House CCS Gas,CCS Gas,CCS Gas,101.85599,Pelham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,101.85599
Shoreham CCS Gas,CCS Gas,CCS Gas,59.83149,Lovedean,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,59.83149
Castleford CCS Gas,CCS Gas,CCS Gas,7.977532,Thornton/Drax/Eggborough,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,7.977532
Sandbach CCS Gas,CCS Gas,CCS Gas,7.977532,Daines,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,7.977532
Thornhill CCS Gas,CCS Gas,CCS Gas,7.1227965,Th. Marsh/Stocksbridge,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,7.1227965
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,189.7513,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,189.7513
South Humber Bank CCS Gas,CCS Gas,CCS Gas,194.45235,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,194.45235
Langage CCS Gas,CCS Gas,CCS Gas,128.9226,S.W.Penisula,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,128.9226
Corby CCS Gas,CCS Gas,CCS Gas,57.97956,Ratcliffe,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,57.97956
Carrington CCS Gas,CCS Gas,CCS Gas,129.63489,Daines,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,129.63489
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,22.08067,Harker,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,22.08067
Rocksavage CCS Gas,CCS Gas,CCS Gas,115.3893,Deeside,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,115.3893
Coryton CCS Gas,CCS Gas,CCS Gas,113.964745,Kemsley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,113.964745
Spalding CCS Gas,CCS Gas,CCS Gas,135.33313,Walpole,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,135.33313
Marchwood CCS Gas,CCS Gas,CCS Gas,127.92542,Lovedean,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,127.92542
Didcot B CCS Gas,CCS Gas,CCS Gas,206.5611,Bramley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,206.5611
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,59.83149,Bramford,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,59.83149
Little Barford CCS Gas,CCS Gas,CCS Gas,102.995636,Sundon/East Claydon,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,102.995636
Pembroke CCS Gas,CCS Gas,CCS Gas,313.2606,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,313.2606
Staythorpe C CCS Gas,CCS Gas,CCS Gas,252.4319,Ratcliffe,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,252.4319
Seabank CCS Gas,CCS Gas,CCS Gas,175.79062,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,175.79062
Peterhead CCS Gas,CCS Gas,CCS Gas,168.09799,Peterhead,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,168.09799
Keadby CCS Gas,CCS Gas,CCS Gas,104.70511,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,104.70511
Medway CCS Gas,CCS Gas,CCS Gas,107.55422,Kemsley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,107.55422
Saltend* CCS Gas,CCS Gas,CCS Gas,170.94711,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,170.94711
