name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,Unnamed: 12,Unnamed: 13,build_year,p_nom_opt
Dinorwig,1741.158621,Pumped Storage Hydroelectric,0.0,18.44883689,0.865,0.865,32122.35139,Deeside,0.0,0.0,False,,,0,1741.158621
Ffestiniog,362.7413793,Pumped Storage Hydroelectric,0.0,13.62467274,0.85,0.85,4942.232583,Deeside,0.0,0.0,False,,,0,362.7413793
Cruachan,2316.540541,Pumped Storage Hydroelectric,0.0,56.53065553,0.865,0.865,130955.5553,Errochty,0.0,0.0,False,,,0,2316.540541
Foyers,1579.459459,Pumped Storage Hydroelectric,0.0,73.57113078,0.865,0.865,116202.6184,Beauly,0.0,0.0,False,,,0,1579.459459
Beauly Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Beauly,0.0,0.0,False,,,0,511.6791599
Peterhead Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Peterhead,0.0,0.0,False,,,0,511.6791599
Errochty Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Errochty,0.0,0.0,False,,,0,511.6791599
Denny/Bonnybridge Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Denny/Bonnybridge,0.0,0.0,False,,,0,511.6791599
Neilston Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Neilston,0.0,0.0,False,,,0,511.6791599
Strathaven Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Strathaven,0.0,0.0,False,,,0,511.6791599
Torness Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Torness,0.0,0.0,False,,,0,511.6791599
Eccles Battery,511.6791599,Battery,0.0,1.79833674,0.95,0.95,920.1714322,Eccles,0.0,0.0,False,,,0,511.6791599
Harker Battery,1068.289991,Battery,0.0,1.79833674,0.95,0.95,1921.145139,Harker,0.0,0.0,False,,,0,1068.289991
Stella West Battery,1068.289991,Battery,0.0,1.79833674,0.95,0.95,1921.145139,Stella West,0.0,0.0,False,,,0,1068.289991
Penwortham Battery,1068.289991,Battery,0.0,1.79833674,0.95,0.95,1921.145139,Penwortham,0.0,0.0,False,,,0,1068.289991
