Timestamp,Beauly Heat Demand With Gas Boilers,Errochty Heat Demand With Gas Boilers,Peterhead Heat Demand With Gas Boilers,Denny_Bonny/bridge Heat Demand With Gas Boilers,Neilston Heat Demand With Gas Boilers,Strathavenorness Heat Demand With Gas Boilers,Torness Heat Demand With Gas Boilers,Eccles Heat Demand With Gas Boilers,Harker Heat Demand With Gas Boilers,Stella_West Heat Demand With Gas Boilers,Penwortham Heat Demand With Gas Boilers,Deeside Heat Demand With Gas Boilers,Daines Heat Demand With Gas Boilers,Marsh_Stocksbridge Heat Demand With Gas Boilers,Thornton-Drax Heat Demand With Gas Boilers, Keadby Heat Demand With Gas Boilers,Ratcliffe Heat Demand With Gas Boilers,Feckenham Heat Demand With Gas Boilers,Walpole Heat Demand With Gas Boilers,Bramford Heat Demand With Gas Boilers,Pelham Heat Demand With Gas Boilers,Sundon_East Heat Demand With Gas Boilers,Melksham Heat Demand With Gas Boilers,Bramley Heat Demand With Gas Boilers,London Heat Demand With Gas Boilers,Kemsley Heat Demand With Gas Boilers,Sellindge Heat Demand With Gas Boilers,Lovedean Heat Demand With Gas Boilers,S_W_Pensiula Heat Demand With Gas Boilers
01/01/2022 00:00,449080.1514,322381.8047,658327.6547,1623682.943,2319253.872,848885.6242,1422492.182,529926.106,715464.5163,3384215.514,5381673.518,855552.26,855552.26,855552.26,855552.26,1532268.523,3660117.227,5886526.687,1325740.227,2433168.09,1830597.182,3144178.596,4888014.747,3166949.349,13180176.59,2790829.395,663199.8462,3453000.569,2439385.12
01/01/2022 01:00,449080.1514,322381.8047,575150.5654,1623682.943,2319253.872,848885.6242,1346297.045,501540.8588,621801.1196,2956633.3,4677144.068,743549.5976,743549.5976,743549.5976,743549.5976,1532268.523,3660117.227,5886526.687,1152183.985,2114635.468,1830597.182,2732565.665,4248111.504,2752355.436,11454723.99,2790829.395,576378.559,3000958.916,1809640.626
01/01/2022 02:00,449080.1514,280918.734,580397.7784,1414853.289,2319253.872,848885.6242,1349856.72,502866.9572,715464.5163,3211410.306,4689510.665,745515.5789,745515.5789,745515.5789,745515.5789,1532268.523,3660117.227,6185232.76,1155230.415,2120226.667,1830597.182,3144178.596,4259343.717,2759632.798,11485010.84,2431887.436,577902.5319,3000958.916,1809640.626
01/01/2022 03:00,470668.0223,335730.3342,701933.446,1690913.101,2415284.814,884034.5519,1613234.694,600984.0967,745089.0144,3838006.244,5604506.898,1032429.858,1032429.858,1032429.858,1032429.858,1532268.523,3811667.91,6130264,1380633.779,2533915.761,1830597.182,3274366.343,4259343.717,2752355.436,13725914.51,2906386.377,690660.2753,3595975.386,2168447.929
01/01/2022 04:00,832112.5373,335730.3342,1252310.882,1690913.101,2415284.814,884034.5519,2880800.033,1073194.751,1330527.087,2956633.3,10008130.7,1032429.858,1032429.858,1032429.858,1032429.858,1532268.523,3811667.91,6130264,2465437.826,4524886.947,1830597.182,5847131.051,9090088.85,5889477.11,24510764.08,5190018.541,690660.2753,6421437.658,3872260.429
01/01/2022 05:00,2085087.771,335730.3342,3338242.483,1690913.101,2415284.814,884034.5519,6780507.789,2525966.845,3331472.831,3211410.306,25059103.15,3983774.241,3983774.241,3983774.241,3983774.241,7134820.577,3660117.227,5886526.687,6173146.88,4524886.947,8523951.418,5847131.051,22760441.58,14746511.49,61371876.91,12995155.03,3088108.801,16078473.94,9695654.107
01/01/2022 06:00,4057764.126,2749512.748,6106844.859,13847980.52,19755838.8,7230966.717,12382097.59,4612747.151,6094460.735,31392998.56,45842102.85,7287754.37,7287754.37,7287754.37,7287754.37,7134820.577,3660117.227,6130264,6173146.88,20726181.45,1830597.182,3274366.343,41637024.99,26976667.63,112271212.5,12995155.03,3088108.801,16078473.94,17758821.94
01/01/2022 07:00,3848020.31,2749512.748,5791185.076,13847980.52,19755838.8,7230966.717,1349856.72,502866.9572,5779441.081,29770310.03,45842102.85,7287754.37,7287754.37,7287754.37,7287754.37,7134820.577,3660117.227,6130264,10709178.94,19654855.41,8523951.418,3274366.343,39484827.81,25582257.05,106467969.2,22544002.79,5357253.014,3453000.569,17758821.94
01/01/2022 08:00,3848020.31,2749512.748,4000600.238,13847980.52,19755838.8,7230966.717,8644362.002,3220315.128,4186993.261,20565585.08,25059103.15,4774215.252,4774215.252,4774215.252,4774215.252,7134820.577,3660117.227,5886526.687,7397992.508,13577742.41,8523951.418,17545375.2,27276457.14,25582257.05,106467969.2,15573590.16,3700836.254,3453000.569,2439385.12
01/01/2022 09:00,2023147.397,2749512.748,2770015.386,13847980.52,9849999.314,3605264.14,5985355.778,2229746.019,2764398.048,14239609.98,20793606.71,3305666.38,3305666.38,3305666.38,3305666.38,7134820.577,3660117.227,5886526.687,10709178.94,9401228.104,8523951.418,12148416.83,18886217.44,25582257.05,50925313.01,10783152.98,2562458.82,16078473.94,8843350.685
