Timestamp,Beauly Heat Demand With Gas Boilers,Peterhead Heat Demand With Gas Boilers,Errochty Heat Demand With Gas Boilers,Denny_Bonny/bridge Heat Demand With Gas Boilers,Neilston Heat Demand With Gas Boilers,Strathavenorness Heat Demand With Gas Boilers,Torness Heat Demand With Gas Boilers,Eccles Heat Demand With Gas Boilers,Harker Heat Demand With Gas Boilers,Stella_West Heat Demand With Gas Boilers,Penwortham Heat Demand With Gas Boilers,Deeside Heat Demand With Gas Boilers,Daines Heat Demand With Gas Boilers,Marsh_Stoksbridge Heat Demand With Gas Boilers ,Thornton-Drax Heat Demand With Gas Boilers, Keadby Heat Demand With Gas Boilers,Ratcliffe Heat Demand With Gas Boilers,Feckenham Heat Demand With Gas Boilers,Walpole Heat Demand With Gas Boilers,Bramford Heat Demand With Gas Boilers,Pelham Heat Demand With Gas Boilers,Sundon_East Heat Demand With Gas Boilers,Melksham Heat Demand With Gas Boilers,Bramley Heat Demand With Gas Boilers,London Heat Demand With Gas Boilers,Kemsley Heat Demand With Gas Boilers,Sellindge Heat Demand With Gas Boilers,Lovedean Heat Demand With Gas Boilers,S_W_Pensiula Heat Demand With Gas Boilers
01/01/2022 00:00,426543.6214,639238.6506,304142.9844,1575059.203,2304102.987,758400.4321,1393122.169,484308.6395,649700.7218,3296220.905,5217937.19,780288.3878,5139189.515,4276071.74,917286.2513,1505435.427,3496590.215,5656587.898,1301637.847,2397153.686,1811542.764,2948010.518,4691224.612,3022862.106,12932089.59,2714235.549,649393.0939,3392240.749,2208454.25
01/01/2022 01:00,426543.6214,558473.3813,304142.9844,1575059.203,2304102.987,758400.4321,1318500.223,458366.8708,564646.6415,2879756.461,4534842.907,678138.7226,5139189.515,3716279.613,797201.8249,1505435.427,3496590.215,5656587.898,1131236.913,2083335.807,1811542.764,2562078.48,4077083.698,2627131.045,11239114.74,2714235.549,564379.286,2948153.329,1638326.191
01/01/2022 02:00,426543.6214,563568.445,265025.6959,1372483.281,2304102.987,758400.4321,1321986.402,459578.8151,649700.7218,3127908.888,4546833.252,679931.7544,5139189.515,3716279.613,797201.8249,1505435.427,3496590.215,5943625.951,1134227.959,2088844.248,1811542.764,2948010.518,4087863.705,2634077.307,11268831.5,2365144.692,565871.5322,2948153.329,1638326.191
01/01/2022 03:00,447048.1318,681580.0393,316736.318,1640276.048,2399506.593,789802.7333,1579926.444,549249.7669,676602.2066,3738212.405,5433990.91,941605.8695,5139189.515,3716279.613,797201.8249,1505435.427,3641369.904,5890804.374,1355533.418,2496410.145,1811542.764,3070075.736,4087863.705,2627131.045,13467555.23,2826621.089,676281.8411,3532699.748,1963166.048
01/01/2022 04:00,790354.0025,1215998.618,316736.318,1640276.048,2399506.593,789802.7333,2821320.525,980811.2565,1208228.206,2879756.461,9703635.347,941605.8695,5139189.515,7952077.492,1705848.684,1505435.427,3641369.904,5890804.374,2420615.382,4457912.081,1811542.764,5482323.382,8724124.362,5621522.551,24049404.41,5047579.35,676281.8411,6308444.513,3505682.614
01/01/2022 05:00,1980450.229,3241446.117,316736.318,1640276.048,2399506.593,789802.7333,6640511.515,2308524.815,3025251.782,3127908.888,24296685,3633317.244,5139189.515,7952077.492,1705848.684,7009875.557,3496590.215,5656587.898,6060917.105,4457912.081,8435226.853,5482323.382,21844112.44,14075586.91,60216690.21,12638505.17,3023819.351,15795553.29,8777789.266
01/01/2022 06:00,3854130.27,5929769.529,2593958.47,13433280.95,19626780.73,6460196.907,12126446.01,4215669.453,5534272.418,30576734.16,44447366.15,6646642.612,5139189.515,36424379.86,7813616.069,7009875.557,3496590.215,5890804.374,6060917.105,20419404.01,1811542.764,3070075.736,39960729.77,25749305.51,110157961,12638505.17,3023819.351,15795553.29,16077635.91
01/01/2022 07:00,3654912.187,5623262.682,2593958.47,13433280.95,19626780.73,6460196.907,1321986.402,459578.8151,5248208.62,28996237.93,44447366.15,6646642.612,5139189.515,34541621.73,7409734.128,7009875.557,3496590.215,5890804.374,10514482.66,19363935.14,8435226.853,3070075.736,37895179.46,24418336.68,104463950.6,21925286.41,5245723.637,3392240.749,16077635.91
01/01/2022 08:00,3654912.187,3884598.011,2593958.47,13433280.95,19626780.73,6460196.907,8465882.969,2943101.728,3802134.812,20030849.45,24296685,4354222.292,28678080.94,36424379.86,7813616.069,7009875.557,3496590.215,5656587.898,7263494.651,13376772.2,8435226.853,16450703.76,26178314.45,24418336.68,104463950.6,15146175.59,3623790.805,3392240.749,2208454.25
01/01/2022 09:00,1921618.256,2689695.45,2593958.47,13433280.95,9785652.67,3220968.531,5861776.905,2037803.476,2510301.162,13869359.06,20160965.43,3014863.277,5139189.515,16521803.81,3544192.989,7009875.557,3496590.215,5656587.898,10514482.66,9262076.34,8435226.853,11390466.38,18125863.49,24418336.68,49966759.23,10487211.15,2509112.556,15795553.29,8006171.411
01/01/2022 10:00,1921618.256,2123725.335,2593958.47,13433280.95,9785652.67,3220968.531,4628332.223,1609005.536,3025251.782,10950945.85,15918662.12,941605.8695,5139189.515,13045258.83,2798418.104,7009875.557,3496590.215,5656587.898,3970981.7,7313135.09,8435226.853,8993665.818,14311789.66,9222019.879,39452672.04,8280475.028,1981140.988,11678552.36,5751017.533
01/01/2022 11:00,3654912.187,2335377.332,2593958.47,13433280.95,19626780.73,6460196.907,4512635.52,1568784.431,5534272.418,10677199.65,5433990.91,2617710.252,5139189.515,12719160.07,2728464.667,5050432.395,3496590.215,5656587.898,4366732.597,7130325.046,1811542.764,9889981.033,13954030.79,8991492.501,38466454.15,9105713.135,2178582.927,11678552.36,1638326.191
01/01/2022 12:00,3654912.187,2262079.937,316736.318,1640276.048,19626780.73,6460196.907,4479208.08,1557163.628,5248208.62,10598108.08,15405765.3,2617710.252,5139189.515,13895119.95,2980727.001,4891921.163,3641369.904,5656587.898,4229679.745,7077507.017,5886618.732,9579577.298,15244161.62,9822807.97,38181513.1,8819924.179,2110206.63,11678552.36,6125679.797
01/01/2022 13:00,3854130.27,2052450.171,316736.318,1640276.048,19626780.73,6460196.907,4334148.718,1506734.812,1856095.642,10254887.86,9703635.347,2300578.918,15152232.48,12607441.88,2704499.316,5050432.395,3641369.904,5943625.951,3837710.053,7067696.146,5886618.732,8691825.936,13831466.17,9822807.97,36945003.02,8819924.179,2110206.63,11678552.36,8006171.411
01/01/2022 14:00,1427437.332,2262079.937,316736.318,1640276.048,19626780.73,6460196.907,4786241.988,1663901.7,2049704.214,11324570.99,16461776.15,2388189.123,15152232.48,13087556.06,2807491.54,5050432.395,3641369.904,5943625.951,3983856.991,7336846.794,5544497.126,9022826.382,13831466.17,9536657.404,40798721.09,8307323.183,1987564.53,11678552.36,8006171.411
01/01/2022 15:00,1427437.332,3221303.562,265025.6959,1372483.281,19626780.73,6460196.907,7299458.615,2537602.911,3125987.178,17271010.84,25105720.53,3610739.577,15152232.48,19787275.72,4244689.3,5050432.395,3641369.904,5943625.951,6023254.177,11533728.43,5544497.126,13641748.89,13954030.79,14544278.42,62221796.75,12559968.69,3124507.049,15795553.29,6125679.797
01/01/2022 16:00,3582708.229,5321954.822,265025.6959,1372483.281,2399506.593,789802.7333,11598380.72,4032091.453,4966997.053,20030849.45,39891411.2,941605.8695,5139189.515,12607441.88,2704499.316,5050432.395,3641369.904,5656587.898,9951091.535,2496410.145,5544497.126,13641748.89,26178314.45,2634077.307,98866522.31,20750477.14,4964645.221,11678552.36,1638326.191
01/01/2022 17:00,3582708.229,2689695.45,265025.6959,1372483.281,2304102.987,758400.4321,1321986.402,459578.8151,5363372.204,29632514.21,43074816.37,780288.3878,28678080.94,35299582.63,7572328.948,7009875.557,3641369.904,5656587.898,10745206.24,4457912.081,1811542.764,24336247.66,38726728.85,5621522.551,106756245.7,2714235.549,5360832.691,15795553.29,1963166.048
01/01/2022 18:00,3582708.229,5552651.928,304142.9844,1575059.203,2304102.987,758400.4321,1321986.402,459578.8151,649700.7218,30576734.16,41620631.65,6223933.786,28678080.94,34107886,7316690.828,1505435.427,3496590.215,5656587.898,10382453.34,4457912.081,1811542.764,23514667.84,4087863.705,5621522.551,103152207.1,2365144.692,5179853.603,15795553.29,15036501.22
01/01/2022 19:00,790354.0025,4967778.087,304142.9844,1575059.203,16797121.4,5528808.476,1318500.223,458366.8708,4636442.801,3738212.405,25105720.53,5568352.254,28678080.94,30515222.43,6546006.636,1505435.427,3496590.215,5656587.898,6060917.105,17106747.11,1811542.764,16450703.76,33477867.34,2634077.307,92286943.33,2826621.089,5360832.691,15795553.29,13452671.31
01/01/2022 20:00,790354.0025,4295536.747,1912026.412,9901773.016,16797121.4,5528808.476,9361460.643,3254442.697,4009037.859,22566281.31,32803103.26,4814841.023,28678080.94,26385892.64,5660198.897,1505435.427,3496590.215,5890804.374,8031875.653,20419404.01,8435226.853,3070075.736,4087863.705,18652847.72,92286943.33,10487211.15,4964645.221,3392240.749,11632251.47
01/01/2022 21:00,1980450.229,3247373.488,1912026.412,9901773.016,16797121.4,5528808.476,6971616.384,2423630.979,3030783.816,22566281.31,24341114.39,3633317.244,23973764.98,34541621.73,7409734.128,1505435.427,16311216.35,5890804.374,6072000.215,7130325.046,1811542.764,13752151.21,33477867.34,2634077.307,60326803.61,2365144.692,649393.0939,3392240.749,8793840.501
