Timestamp,Ambient Temp,HP total Demand
01/01/2022 00:00,11,603389.0880000001
01/01/2022 01:00,11,603389.0880000001
01/01/2022 02:00,11,603389.0880000001
01/01/2022 03:00,12,494289.21599999996
01/01/2022 04:00,12,494289.21599999996
01/01/2022 05:00,12,494289.21599999996
01/01/2022 06:00,13,385189.34400000004
01/01/2022 07:00,13,385189.34400000004
01/01/2022 08:00,13,385189.34400000004
01/01/2022 09:00,14,276089.4720000001
01/01/2022 10:00,14,276089.4720000001
01/01/2022 11:00,13,385189.34400000004
01/01/2022 12:00,13,385189.34400000004
01/01/2022 13:00,13,385189.34400000004
01/01/2022 14:00,13,385189.34400000004
01/01/2022 15:00,13,385189.34400000004
01/01/2022 16:00,12,494289.21599999996
01/01/2022 17:00,11,603389.0880000001
01/01/2022 18:00,11,603389.0880000001
01/01/2022 19:00,10,712488.9600000001
01/01/2022 20:00,10,712488.9600000001
01/01/2022 21:00,10,712488.9600000001
01/01/2022 22:00,9,821588.8319999999
01/01/2022 23:00,9,821588.8319999999
02/01/2022 00:00,9,821588.8319999999
02/01/2022 01:00,8,930688.7039999999
02/01/2022 02:00,7,1039788.576
02/01/2022 03:00,8,930688.7039999999
02/01/2022 04:00,8,930688.7039999999
02/01/2022 05:00,8,930688.7039999999
02/01/2022 06:00,7,1039788.576
02/01/2022 07:00,8,930688.7039999999
02/01/2022 08:00,9,821588.8319999999
02/01/2022 09:00,9,821588.8319999999
02/01/2022 10:00,9,821588.8319999999
02/01/2022 11:00,10,712488.9600000001
02/01/2022 12:00,10,712488.9600000001
02/01/2022 13:00,10,712488.9600000001
02/01/2022 14:00,10,712488.9600000001
02/01/2022 15:00,9,821588.8319999999
02/01/2022 16:00,10,712488.9600000001
02/01/2022 17:00,9,821588.8319999999
02/01/2022 18:00,9,821588.8319999999
02/01/2022 19:00,9,821588.8319999999
02/01/2022 20:00,9,821588.8319999999
02/01/2022 21:00,9,821588.8319999999
02/01/2022 22:00,9,821588.8319999999
02/01/2022 23:00,9,821588.8319999999
03/01/2022 00:00,9,821588.8319999999
03/01/2022 01:00,8,930688.7039999999
03/01/2022 02:00,8,930688.7039999999
03/01/2022 03:00,8,930688.7039999999
03/01/2022 04:00,8,930688.7039999999
03/01/2022 05:00,8,930688.7039999999
03/01/2022 06:00,8,930688.7039999999
03/01/2022 07:00,8,930688.7039999999
03/01/2022 08:00,8,930688.7039999999
03/01/2022 09:00,7,1039788.576
03/01/2022 10:00,8,930688.7039999999
03/01/2022 11:00,7,1039788.576
03/01/2022 12:00,7,1039788.576
03/01/2022 13:00,7,1039788.576
03/01/2022 14:00,6,1148888.4479999999
03/01/2022 15:00,6,1148888.4479999999
03/01/2022 16:00,5,1257988.32
03/01/2022 17:00,4,1367088.192
03/01/2022 18:00,3,1476188.0639999998
03/01/2022 19:00,2,1585287.9359999998
03/01/2022 20:00,0,1803487.68
03/01/2022 21:00,-1,1912587.5519999997
03/01/2022 22:00,-1,1912587.5519999997
03/01/2022 23:00,-1,1912587.5519999997
04/01/2022 00:00,-2,2021687.4239999999
04/01/2022 01:00,0,1803487.68
04/01/2022 02:00,-2,2021687.4239999999
04/01/2022 03:00,0,1803487.68
04/01/2022 04:00,1,1694387.808
04/01/2022 05:00,1,1694387.808
04/01/2022 06:00,1,1694387.808
04/01/2022 07:00,1,1694387.808
04/01/2022 08:00,1,1694387.808
04/01/2022 09:00,2,1585287.9359999998
04/01/2022 10:00,2,1585287.9359999998
04/01/2022 11:00,3,1476188.0639999998
04/01/2022 12:00,3,1476188.0639999998
04/01/2022 13:00,3,1476188.0639999998
04/01/2022 14:00,3,1476188.0639999998
04/01/2022 15:00,3,1476188.0639999998
04/01/2022 16:00,3,1476188.0639999998
04/01/2022 17:00,3,1476188.0639999998
04/01/2022 18:00,3,1476188.0639999998
04/01/2022 19:00,3,1476188.0639999998
04/01/2022 20:00,3,1476188.0639999998
04/01/2022 21:00,4,1367088.192
04/01/2022 22:00,4,1367088.192
04/01/2022 23:00,4,1367088.192
05/01/2022 00:00,4,1367088.192
05/01/2022 01:00,4,1367088.192
05/01/2022 02:00,4,1367088.192
05/01/2022 03:00,3,1476188.0639999998
05/01/2022 04:00,2,1585287.9359999998
05/01/2022 05:00,2,1585287.9359999998
05/01/2022 06:00,3,1476188.0639999998
05/01/2022 07:00,2,1585287.9359999998
05/01/2022 08:00,2,1585287.9359999998
05/01/2022 09:00,2,1585287.9359999998
05/01/2022 10:00,3,1476188.0639999998
05/01/2022 11:00,3,1476188.0639999998
05/01/2022 12:00,4,1367088.192
05/01/2022 13:00,5,1257988.32
05/01/2022 14:00,5,1257988.32
05/01/2022 15:00,5,1257988.32
05/01/2022 16:00,1,1694387.808
05/01/2022 17:00,-1,1912587.5519999997
05/01/2022 18:00,-1,1912587.5519999997
05/01/2022 19:00,-2,2021687.4239999999
05/01/2022 20:00,-1,1912587.5519999997
05/01/2022 21:00,-1,1912587.5519999997
05/01/2022 22:00,-1,1912587.5519999997
05/01/2022 23:00,0,1803487.68
06/01/2022 00:00,0,1803487.68
06/01/2022 01:00,0,1803487.68
06/01/2022 02:00,0,1803487.68
06/01/2022 03:00,0,1803487.68
06/01/2022 04:00,0,1803487.68
06/01/2022 05:00,2,1585287.9359999998
06/01/2022 06:00,2,1585287.9359999998
06/01/2022 07:00,4,1367088.192
06/01/2022 08:00,4,1367088.192
06/01/2022 09:00,3,1476188.0639999998
06/01/2022 10:00,4,1367088.192
06/01/2022 11:00,4,1367088.192
06/01/2022 12:00,5,1257988.32
06/01/2022 13:00,5,1257988.32
06/01/2022 14:00,8,930688.7039999999
06/01/2022 15:00,8,930688.7039999999
06/01/2022 16:00,7,1039788.576
06/01/2022 17:00,7,1039788.576
06/01/2022 18:00,5,1257988.32
06/01/2022 19:00,4,1367088.192
06/01/2022 20:00,4,1367088.192
06/01/2022 21:00,4,1367088.192
06/01/2022 22:00,4,1367088.192
06/01/2022 23:00,3,1476188.0639999998
07/01/2022 00:00,3,1476188.0639999998
07/01/2022 01:00,2,1585287.9359999998
07/01/2022 02:00,2,1585287.9359999998
07/01/2022 03:00,2,1585287.9359999998
07/01/2022 04:00,1,1694387.808
07/01/2022 05:00,1,1694387.808
07/01/2022 06:00,1,1694387.808
07/01/2022 07:00,0,1803487.68
07/01/2022 08:00,0,1803487.68
07/01/2022 09:00,0,1803487.68
07/01/2022 10:00,1,1694387.808
07/01/2022 11:00,1,1694387.808
07/01/2022 12:00,2,1585287.9359999998
07/01/2022 13:00,1,1694387.808
07/01/2022 14:00,2,1585287.9359999998
07/01/2022 15:00,1,1694387.808
07/01/2022 16:00,2,1585287.9359999998
07/01/2022 17:00,0,1803487.68
07/01/2022 18:00,1,1694387.808
07/01/2022 19:00,1,1694387.808
07/01/2022 20:00,1,1694387.808
07/01/2022 21:00,-1,1912587.5519999997
07/01/2022 22:00,-1,1912587.5519999997
07/01/2022 23:00,0,1803487.68
08/01/2022 00:00,0,1803487.68
08/01/2022 01:00,1,1694387.808
08/01/2022 02:00,3,1476188.0639999998
08/01/2022 03:00,3,1476188.0639999998
08/01/2022 04:00,2,1585287.9359999998
08/01/2022 05:00,2,1585287.9359999998
08/01/2022 06:00,2,1585287.9359999998
08/01/2022 07:00,3,1476188.0639999998
08/01/2022 08:00,7,1039788.576
08/01/2022 09:00,7,1039788.576
08/01/2022 10:00,7,1039788.576
08/01/2022 11:00,6,1148888.4479999999
08/01/2022 12:00,6,1148888.4479999999
08/01/2022 13:00,7,1039788.576
08/01/2022 14:00,7,1039788.576
08/01/2022 15:00,4,1367088.192
08/01/2022 16:00,4,1367088.192
08/01/2022 17:00,4,1367088.192
08/01/2022 18:00,4,1367088.192
08/01/2022 19:00,4,1367088.192
08/01/2022 20:00,3,1476188.0639999998
08/01/2022 21:00,3,1476188.0639999998
08/01/2022 22:00,4,1367088.192
08/01/2022 23:00,3,1476188.0639999998
09/01/2022 00:00,3,1476188.0639999998
09/01/2022 01:00,2,1585287.9359999998
09/01/2022 02:00,2,1585287.9359999998
09/01/2022 03:00,1,1694387.808
09/01/2022 04:00,3,1476188.0639999998
09/01/2022 05:00,2,1585287.9359999998
09/01/2022 06:00,3,1476188.0639999998
09/01/2022 07:00,3,1476188.0639999998
09/01/2022 08:00,3,1476188.0639999998
09/01/2022 09:00,5,1257988.32
09/01/2022 10:00,5,1257988.32
09/01/2022 11:00,5,1257988.32
09/01/2022 12:00,6,1148888.4479999999
09/01/2022 13:00,6,1148888.4479999999
09/01/2022 14:00,7,1039788.576
09/01/2022 15:00,7,1039788.576
09/01/2022 16:00,4,1367088.192
09/01/2022 17:00,4,1367088.192
09/01/2022 18:00,4,1367088.192
09/01/2022 19:00,2,1585287.9359999998
09/01/2022 20:00,1,1694387.808
09/01/2022 21:00,2,1585287.9359999998
09/01/2022 22:00,2,1585287.9359999998
09/01/2022 23:00,2,1585287.9359999998
10/01/2022 00:00,1,1694387.808
10/01/2022 01:00,1,1694387.808
10/01/2022 02:00,2,1585287.9359999998
10/01/2022 03:00,3,1476188.0639999998
10/01/2022 04:00,3,1476188.0639999998
10/01/2022 05:00,3,1476188.0639999998
10/01/2022 06:00,4,1367088.192
10/01/2022 07:00,4,1367088.192
10/01/2022 08:00,5,1257988.32
10/01/2022 09:00,5,1257988.32
10/01/2022 10:00,6,1148888.4479999999
10/01/2022 11:00,6,1148888.4479999999
10/01/2022 12:00,8,930688.7039999999
10/01/2022 13:00,8,930688.7039999999
10/01/2022 14:00,9,821588.8319999999
10/01/2022 15:00,10,712488.9600000001
10/01/2022 16:00,11,603389.0880000001
10/01/2022 17:00,11,603389.0880000001
10/01/2022 18:00,11,603389.0880000001
10/01/2022 19:00,9,821588.8319999999
10/01/2022 20:00,9,821588.8319999999
10/01/2022 21:00,8,930688.7039999999
10/01/2022 22:00,7,1039788.576
10/01/2022 23:00,6,1148888.4479999999
11/01/2022 00:00,6,1148888.4479999999
11/01/2022 01:00,3,1476188.0639999998
11/01/2022 02:00,4,1367088.192
11/01/2022 03:00,5,1257988.32
11/01/2022 04:00,3,1476188.0639999998
11/01/2022 05:00,3,1476188.0639999998
11/01/2022 06:00,2,1585287.9359999998
11/01/2022 07:00,3,1476188.0639999998
11/01/2022 08:00,3,1476188.0639999998
11/01/2022 09:00,3,1476188.0639999998
11/01/2022 10:00,4,1367088.192
11/01/2022 11:00,5,1257988.32
11/01/2022 12:00,7,1039788.576
11/01/2022 13:00,8,930688.7039999999
11/01/2022 14:00,8,930688.7039999999
11/01/2022 15:00,8,930688.7039999999
11/01/2022 16:00,7,1039788.576
11/01/2022 17:00,7,1039788.576
11/01/2022 18:00,7,1039788.576
11/01/2022 19:00,7,1039788.576
11/01/2022 20:00,6,1148888.4479999999
11/01/2022 21:00,7,1039788.576
11/01/2022 22:00,6,1148888.4479999999
11/01/2022 23:00,7,1039788.576
12/01/2022 00:00,7,1039788.576
12/01/2022 01:00,8,930688.7039999999
12/01/2022 02:00,8,930688.7039999999
12/01/2022 03:00,8,930688.7039999999
12/01/2022 04:00,8,930688.7039999999
12/01/2022 05:00,8,930688.7039999999
12/01/2022 06:00,8,930688.7039999999
12/01/2022 07:00,9,821588.8319999999
12/01/2022 08:00,9,821588.8319999999
12/01/2022 09:00,10,712488.9600000001
12/01/2022 10:00,10,712488.9600000001
12/01/2022 11:00,10,712488.9600000001
12/01/2022 12:00,10,712488.9600000001
12/01/2022 13:00,9,821588.8319999999
12/01/2022 14:00,9,821588.8319999999
12/01/2022 15:00,9,821588.8319999999
12/01/2022 16:00,8,930688.7039999999
12/01/2022 17:00,9,821588.8319999999
12/01/2022 18:00,9,821588.8319999999
12/01/2022 19:00,9,821588.8319999999
12/01/2022 20:00,9,821588.8319999999
12/01/2022 21:00,9,821588.8319999999
12/01/2022 22:00,9,821588.8319999999
12/01/2022 23:00,8,930688.7039999999
13/01/2022 00:00,8,930688.7039999999
13/01/2022 01:00,8,930688.7039999999
13/01/2022 02:00,8,930688.7039999999
13/01/2022 03:00,8,930688.7039999999
13/01/2022 04:00,8,930688.7039999999
13/01/2022 05:00,8,930688.7039999999
13/01/2022 06:00,8,930688.7039999999
13/01/2022 07:00,8,930688.7039999999
13/01/2022 08:00,8,930688.7039999999
13/01/2022 09:00,8,930688.7039999999
13/01/2022 10:00,8,930688.7039999999
13/01/2022 11:00,8,930688.7039999999
13/01/2022 12:00,8,930688.7039999999
13/01/2022 13:00,8,930688.7039999999
13/01/2022 14:00,8,930688.7039999999
13/01/2022 15:00,8,930688.7039999999
13/01/2022 16:00,8,930688.7039999999
13/01/2022 17:00,8,930688.7039999999
13/01/2022 18:00,8,930688.7039999999
13/01/2022 19:00,8,930688.7039999999
13/01/2022 20:00,8,930688.7039999999
13/01/2022 21:00,8,930688.7039999999
13/01/2022 22:00,8,930688.7039999999
13/01/2022 23:00,8,930688.7039999999
14/01/2022 00:00,8,930688.7039999999
14/01/2022 01:00,8,930688.7039999999
14/01/2022 02:00,8,930688.7039999999
14/01/2022 03:00,8,930688.7039999999
14/01/2022 04:00,8,930688.7039999999
14/01/2022 05:00,8,930688.7039999999
14/01/2022 06:00,8,930688.7039999999
14/01/2022 07:00,8,930688.7039999999
14/01/2022 08:00,8,930688.7039999999
14/01/2022 09:00,8,930688.7039999999
14/01/2022 10:00,8,930688.7039999999
14/01/2022 11:00,8,930688.7039999999
14/01/2022 12:00,9,821588.8319999999
14/01/2022 13:00,8,930688.7039999999
14/01/2022 14:00,8,930688.7039999999
14/01/2022 15:00,8,930688.7039999999
14/01/2022 16:00,7,1039788.576
14/01/2022 17:00,6,1148888.4479999999
14/01/2022 18:00,6,1148888.4479999999
14/01/2022 19:00,6,1148888.4479999999
14/01/2022 20:00,6,1148888.4479999999
14/01/2022 21:00,6,1148888.4479999999
14/01/2022 22:00,6,1148888.4479999999
14/01/2022 23:00,5,1257988.32
15/01/2022 00:00,4,1367088.192
15/01/2022 01:00,4,1367088.192
15/01/2022 02:00,4,1367088.192
15/01/2022 03:00,4,1367088.192
15/01/2022 04:00,4,1367088.192
15/01/2022 05:00,4,1367088.192
15/01/2022 06:00,4,1367088.192
15/01/2022 07:00,5,1257988.32
15/01/2022 08:00,5,1257988.32
15/01/2022 09:00,5,1257988.32
15/01/2022 10:00,5,1257988.32
15/01/2022 11:00,5,1257988.32
15/01/2022 12:00,5,1257988.32
15/01/2022 13:00,5,1257988.32
15/01/2022 14:00,6,1148888.4479999999
15/01/2022 15:00,6,1148888.4479999999
15/01/2022 16:00,6,1148888.4479999999
15/01/2022 17:00,6,1148888.4479999999
15/01/2022 18:00,6,1148888.4479999999
15/01/2022 19:00,6,1148888.4479999999
15/01/2022 20:00,6,1148888.4479999999
15/01/2022 21:00,6,1148888.4479999999
15/01/2022 22:00,6,1148888.4479999999
15/01/2022 23:00,6,1148888.4479999999
16/01/2022 00:00,6,1148888.4479999999
16/01/2022 01:00,5,1257988.32
16/01/2022 02:00,5,1257988.32
16/01/2022 03:00,6,1148888.4479999999
16/01/2022 04:00,7,1039788.576
16/01/2022 05:00,7,1039788.576
16/01/2022 06:00,7,1039788.576
16/01/2022 07:00,6,1148888.4479999999
16/01/2022 08:00,4,1367088.192
16/01/2022 09:00,4,1367088.192
16/01/2022 10:00,5,1257988.32
16/01/2022 11:00,5,1257988.32
16/01/2022 12:00,7,1039788.576
16/01/2022 13:00,7,1039788.576
16/01/2022 14:00,7,1039788.576
16/01/2022 15:00,7,1039788.576
16/01/2022 16:00,6,1148888.4479999999
16/01/2022 17:00,6,1148888.4479999999
16/01/2022 18:00,6,1148888.4479999999
16/01/2022 19:00,7,1039788.576
16/01/2022 20:00,7,1039788.576
16/01/2022 21:00,7,1039788.576
16/01/2022 22:00,7,1039788.576
16/01/2022 23:00,7,1039788.576
17/01/2022 00:00,7,1039788.576
