Timestamp,Beauly ASHPs COP,Peterhead ASHPs COP,Errochty COP,Denny_bonny ASHPs COP,Neilston COP,Strathaven ASHPs COP,Torness COP,Eccles ASHPs COP,Harker ASHPs COP,Stella_West ASHPs COP,Penwortham COP,Deeside ASHPs COP,Daines ASHPs COP,Marsh_Stocksbridge ASHPs COP,Thornton_Drax_Eggborough ASHPs COP,Keadby ASHPs COP,Ratcliffe ASHPs COP,Feckenham ASHPs COP,Walpole ASHPs COP,Bramford ASHPs COP,Pelham ASHPs COP,Sundon_East_Claydon ASHPs COP,Melksham ASHPs COP,Bramley ASHPs COP,london ASHPs COP,Kemsley ASHPs COP,Sellindge ASHPs COP,Lovedean ASHPs COP,S_W_Penisula ASHPs COP
01/01/2022 00:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 01:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 02:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 03:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 04:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 05:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 06:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 07:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 08:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 09:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 10:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 11:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.9644,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 12:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.9644,2.5,2.5,2.5,1.975,2.5,2.5,2.5,2.5,1.975,2.5,2.5,2.5,2.5,1.9962,2.5,2.5,2.5
01/01/2022 13:00,2.5,2.0068,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.9538,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.975,2.0015,2.5,2.5,2.5,1.9962,2.5,2.5,2.5
01/01/2022 14:00,2.5,2.0068,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.975,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0015,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 15:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.9909,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
01/01/2022 16:00,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
